MP01,Bo Gia,Tam Ly,128 Phut,Vu Ngoc Dang,Tran Thanh-Tuan Tran...,2021,Viet Nam
MP02,Shang-Chi,Hanh Dong,120 phut,Destin Daniel Cretton,Luong Trieu Vi-Awkwafina...,2021,My
MP03,VENOM 2:Let There Be Carnage,Hanh Dong,90 Phut,Andy Serkis,Naomie Harris-Tom Hardy...,2021,My
MP04,Tiec Trang Mau,Kinh Di,118 Phut,Nguyen Quang Dung,Kaity Nguyen-Kieu Minh Tuan...,2020,Viet Nam
MP05,Godzilla vs. Kong,Vien Tuong,113 Phut, Adam Wingard,Bobby Brown-Rebecca Hall...,2021,My
MP06,CINDERELLA,Tinh Cam,113 Phut,Kay Cannon, Billy Porter-Camila Cabello...,2021,My
MP07,Spider-Man: No Way Home,Sieu Anh Hung,150 Phut,Jon Watts,Tom Holland-Zendaya...,2021,My
